ncrna_id,symbol,disease_id,context_id,translational_score,relevance_score,mean_abs_log2fc,sig_rate,de_consistency,mean_tau,log_tpm_disease,label,confidence_tier,task_type,label_source,dataset_id,notes
LNCRNA_4205,EGR1,DIS_001,CTX_001,0.1995,0.6884,1.958728,1.0,1.0,0.0,3.531373,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13335,LGALS4,DIS_001,CTX_001,0.1993,0.6851,1.899602,1.0,1.0,0.0,3.70945,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0290,IFI6,DIS_001,CTX_001,0.199,0.6911,2.028472,1.0,1.0,0.0,3.170588,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12932,CD209,DIS_001,CTX_001,0.199,0.6969,2.143642,1.0,1.0,0.0,2.735374,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6597,FABP4,DIS_001,CTX_001,0.199,0.7193,2.587546,1.0,1.0,0.0,1.081059,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1724,CCDC88A,DIS_001,CTX_001,0.1989,0.6981,2.17139,1.0,1.0,0.0,2.609359,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3730,FGA,DIS_001,CTX_001,0.1988,0.605,0.328027,1.0,1.0,0.0,9.460739,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4905,PHIP,DIS_001,CTX_001,0.1987,0.703,2.273584,1.0,1.0,0.0,2.197586,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3913,HMGCS1,DIS_001,CTX_001,0.1987,0.6666,1.553729,1.0,1.0,0.0,4.865732,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8459,P4HA1,DIS_001,CTX_001,0.1984,0.6839,1.90379,1.0,1.0,0.0,3.519318,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3356,BOD1L1,DIS_001,CTX_001,0.1984,0.6941,2.108626,1.0,1.0,0.0,2.748574,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6844,BRD10,DIS_001,CTX_001,0.1984,0.7017,2.258809,1.0,1.0,0.0,2.182625,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3452,KDR,DIS_001,CTX_001,0.1983,0.6725,1.68268,1.0,1.0,0.0,4.316538,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6562,CSPP1,DIS_001,CTX_001,0.1982,0.7073,2.37553,1.0,1.0,0.0,1.718887,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5563,CYP3A5,DIS_001,CTX_001,0.1982,0.667,1.579505,1.0,1.0,0.0,4.666488,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0213,C1QC,DIS_001,CTX_001,0.1981,0.6605,1.4531,1.0,1.0,0.0,5.123871,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8251,ITIH2,DIS_001,CTX_001,0.1979,0.6207,0.66981,1.0,1.0,0.0,7.998009,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8101,APOC3,DIS_001,CTX_001,0.1977,0.6121,0.506886,1.0,1.0,0.0,8.565757,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0214,C1QB,DIS_001,CTX_001,0.1976,0.6598,1.45447,1.0,1.0,0.0,5.016351,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8420,CCAR1,DIS_001,CTX_001,0.1973,0.6895,2.0542,1.0,1.0,0.0,2.727248,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12422,SIGLEC1,DIS_001,CTX_001,0.1972,0.6806,1.880231,1.0,1.0,0.0,3.355476,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2297,IGFBP2,DIS_001,CTX_001,0.1971,0.6603,1.481606,1.0,1.0,0.0,4.814694,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5513,AKAP9,DIS_001,CTX_001,0.1971,0.667,1.614753,1.0,1.0,0.0,4.315174,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3641,LARP7,DIS_001,CTX_001,0.197,0.6851,1.978734,1.0,1.0,0.0,2.934337,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7177,C5,DIS_001,CTX_001,0.1968,0.6312,0.916863,1.0,1.0,0.0,6.843003,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6063,VSIG4,DIS_001,CTX_001,0.1967,0.6755,1.798336,1.0,1.0,0.0,3.538273,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8555,RBP4,DIS_001,CTX_001,0.1966,0.5977,0.260462,1.0,1.0,0.0,9.244603,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11890,COL1A1,DIS_001,CTX_001,0.1965,0.6688,1.669937,1.0,1.0,0.0,3.992001,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10072,ALDH6A1,DIS_001,CTX_001,0.1965,0.6397,1.093443,1.0,1.0,0.0,6.136111,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7104,ALDOB,DIS_001,CTX_001,0.1963,0.5964,0.243764,1.0,1.0,0.0,9.248689,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12885,PTPRS,DIS_001,CTX_001,0.1963,0.6791,1.883837,1.0,1.0,0.0,3.142013,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12260,TTR,DIS_001,CTX_001,0.1963,0.5985,0.28511,1.0,1.0,0.0,9.092868,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3589,ADH1B,DIS_001,CTX_001,0.1963,0.6005,0.32545,1.0,1.0,0.0,8.939826,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1079,APOA2,DIS_001,CTX_001,0.1963,0.6023,0.362503,1.0,1.0,0.0,8.800183,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2773,ITIH1,DIS_001,CTX_001,0.196,0.6116,0.555687,1.0,1.0,0.0,8.027088,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7464,HBB,DIS_001,CTX_001,0.196,0.6549,1.414371,1.0,1.0,0.0,4.827595,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10458,CA12,DIS_001,CTX_001,0.196,0.7156,2.617769,1.0,1.0,0.0,0.346791,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3731,FGG,DIS_001,CTX_001,0.1958,0.5983,0.297622,1.0,1.0,0.0,8.945567,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9538,MPHOSPH8,DIS_001,CTX_001,0.1958,0.6759,1.836641,1.0,1.0,0.0,3.215214,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8428,HKDC1,DIS_001,CTX_001,0.1958,0.7157,2.626636,1.0,1.0,0.0,0.270419,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13557,FTL,DIS_001,CTX_001,0.1958,0.6021,0.374032,1.0,1.0,0.0,8.654667,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2290,FN1,DIS_001,CTX_001,0.1957,0.6034,0.402257,1.0,1.0,0.0,8.534739,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1429,ACTA1,DIS_001,CTX_001,0.1956,0.6956,2.234151,1.0,1.0,0.0,1.691304,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11068,SLC6A2,DIS_001,CTX_001,0.1952,0.7117,2.565327,1.0,1.0,0.0,0.389379,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3562,SPP1,DIS_001,CTX_001,0.1951,0.6899,2.138696,1.0,1.0,0.0,1.938849,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7434,CTSD,DIS_001,CTX_001,0.195,0.6409,1.167652,1.0,1.0,0.0,5.552154,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13387,CYP2B6,DIS_001,CTX_001,0.195,0.6334,1.021187,1.0,1.0,0.0,6.091433,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0686,CCDC18,DIS_001,CTX_001,0.195,0.7078,2.495817,1.0,1.0,0.0,0.599337,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2233,AOX1,DIS_001,CTX_001,0.195,0.616,0.677534,1.0,1.0,0.0,7.360955,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7686,MPEG1,DIS_001,CTX_001,0.1947,0.6593,1.543974,1.0,1.0,0.0,4.087453,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0825,HMGCS2,DIS_001,CTX_001,0.1945,0.6125,0.6215,1.0,1.0,0.0,7.479577,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1149,PRRC2C,DIS_001,CTX_001,0.1944,0.6616,1.600501,1.0,1.0,0.0,3.807511,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1045,KCNJ10,DIS_001,CTX_001,0.1943,0.6876,2.120882,1.0,1.0,0.0,1.839517,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9071,KRT8,DIS_001,CTX_001,0.1943,0.6387,1.152185,1.0,1.0,0.0,5.444064,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8564,CYP2C19,DIS_001,CTX_001,0.1941,0.68,1.975181,1.0,1.0,0.0,2.348669,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7922,FOLR2,DIS_001,CTX_001,0.1941,0.669,1.759099,1.0,1.0,0.0,3.145775,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10892,ACSM2A,DIS_001,CTX_001,0.194,0.6356,1.099917,1.0,1.0,0.0,5.577805,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10927,RBBP6,DIS_001,CTX_001,0.1939,0.669,1.763169,1.0,1.0,0.0,3.106818,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13681,LILRB5,DIS_001,CTX_001,0.1938,0.6713,1.815101,1.0,1.0,0.0,2.875436,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9889,BAZ1A,DIS_001,CTX_001,0.1937,0.6788,1.967516,1.0,1.0,0.0,2.286917,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0729,PRPF38B,DIS_001,CTX_001,0.1936,0.6765,1.922693,1.0,1.0,0.0,2.439075,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10441,SLTM,DIS_001,CTX_001,0.1935,0.6617,1.631357,1.0,1.0,0.0,3.512998,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4495,TXNDC5,DIS_001,CTX_001,0.1932,0.6892,2.190809,1.0,1.0,0.0,1.351328,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11597,VTN,DIS_001,CTX_001,0.1931,0.5927,0.278642,1.0,1.0,0.0,8.461077,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2089,BAZ2B,DIS_001,CTX_001,0.1931,0.672,1.849995,1.0,1.0,0.0,2.610433,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11991,APOH,DIS_001,CTX_001,0.193,0.5852,0.133776,1.0,1.0,0.0,8.973138,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4019,CRHBP,DIS_001,CTX_001,0.1927,0.6443,1.314759,1.0,1.0,0.0,4.517474,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4167,LEAP2,DIS_001,CTX_001,0.1925,0.6454,1.34222,1.0,1.0,0.0,4.38146,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1163,SERPINC1,DIS_001,CTX_001,0.1925,0.5934,0.312135,1.0,1.0,0.0,8.211369,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0502,CYP4A11,DIS_001,CTX_001,0.1924,0.6098,0.64299,1.0,1.0,0.0,6.947846,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8831,CD4,DIS_001,CTX_001,0.1924,0.6306,1.055541,1.0,1.0,0.0,5.408124,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9132,MYL6,DIS_001,CTX_001,0.1923,0.6302,1.049536,1.0,1.0,0.0,5.423936,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11628,NSRP1,DIS_001,CTX_001,0.1922,0.6712,1.865039,1.0,1.0,0.0,2.370507,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2765,STAB1,DIS_001,CTX_001,0.1921,0.6418,1.287155,1.0,1.0,0.0,4.487602,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2616,CYP8B1,DIS_001,CTX_001,0.192,0.6089,0.638725,1.0,1.0,0.0,6.879864,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8926,SLCO1A2,DIS_001,CTX_001,0.1919,0.677,1.990633,1.0,1.0,0.0,1.833289,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13136,BST2,DIS_001,CTX_001,0.1918,0.6398,1.256326,1.0,1.0,0.0,4.551768,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6185,ACSL4,DIS_001,CTX_001,0.1918,0.6644,1.7449,1.0,1.0,0.0,2.730997,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5978,CFP,DIS_001,CTX_001,0.1917,0.6494,1.452077,1.0,1.0,0.0,3.78769,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3215,KNG1,DIS_001,CTX_001,0.1916,0.5903,0.281478,1.0,1.0,0.0,8.137841,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
